The $10000 Pyramid,,Wii,Misc,Ubisoft,0.08,2011
Minna de Jibun no Setsumeisho: B-Kata A-Kata AB-Kata O-Kata,,DS,Misc,GungHo,0.04,2008
Holy Invasion of Privacy Badman! What Did I Do to Deserve This?,,PSP,Role-Playing,NIS America,0.14,2009
Tennis no Oji-Sama: Doubles no Oji-Sama - Girls Be Gracious!,,DS,Sports,Konami,0.06,2009
Boku no Natsuyasumi 4: Seitouchi Shounen Tanteidan Boku to Himitsu no Chizu,,PSP,Adventure,Sony Computer Entertainment,0.19,2009
Lunar 2: Eternal Blue(sales but wrong system),,GEN,Role-Playing,Game Arts,0.14,1994
SpongeBob SquarePants: Lights Camera Pants!,,GBA,Misc,THQ,0.51,2005
SpongeBob SquarePants: Lights Camera Pants!,,PS2,Misc,THQ,0.44,2005
SpongeBob SquarePants: Lights Camera Pants!,,GC,Misc,THQ,0.44,2005
SpongeBob SquarePants: Lights Camera Pants!,,XB,Misc,THQ,0.26,2005
Soldam: Drop Connect Erase,,NS,Puzzle,Dispatch Games,0.02,2017
Go Diego Go! Safari Rescue,,DS,Adventure,2K Play,0.15,2007
Go Diego Go!: Great Dinosaur Rescue,,PS2,Action,2K Play,0.32,2008
Sumikko Gurashi: Koko Dokonan Desu?,,3DS,Puzzle,Nippon Columbia,0.12,2017
Prinny 2: Dawn of Operation Panties Dood!,,PSP,Platform,NIS America,0.11,2011
Ed Edd n Eddy: Jawbreakers!,,GBA,Adventure,BAM! Entertainment,0.32,2002
Ed Edd n Eddy: The Mis-Edventures,,PS2,Platform,Midway Games,0.41,2005
Ed Edd n Eddy: The Mis-Edventures,,GC,Platform,Midway Games,0.25,2005
Ed Edd n Eddy: The Mis-Edventures,,GBA,Platform,Midway Games,0.12,2005
Ed Edd n Eddy: The Mis-Edventures,,XB,Platform,Midway Games,0.02,2005
Pokemon: Let's Go Eevee!,,NS,Role-Playing,Nintendo,2.73,2018
Love Election and Chocolate Portable,,PSP,Visual Novel,Kadokawa Shoten,0.05,2012
Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 12: CR Shinseiki Evangelion - Shito Futatabi,,PS2,Misc,D3 Publisher,0.12,2008
Hisshou Pachinko*Pachi-Slot Kouryaku Series DS Vol. 2: Shinseiki Evangelion - Shito Futatabi,,DS,Misc,D3 Publisher,0.08,2008
